Wk,Day,Date,Home,Away
1.0,Fri,2022-08-05,Crystal Palace,Arsenal
1.0,Sat,2022-08-06,Fulham,Liverpool
1.0,Sat,2022-08-06,Tottenham,Southampton
1.0,Sat,2022-08-06,Newcastle Utd,Nott'ham Forest
1.0,Sat,2022-08-06,Leeds United,Wolves
1.0,Sat,2022-08-06,Bournemouth,Aston Villa
1.0,Sat,2022-08-06,Everton,Chelsea
1.0,Sun,2022-08-07,Leicester City,Brentford
1.0,Sun,2022-08-07,Manchester Utd,Brighton
1.0,Sun,2022-08-07,West Ham,Manchester City
2.0,Sat,2022-08-13,Aston Villa,Everton
2.0,Sat,2022-08-13,Manchester City,Bournemouth
2.0,Sat,2022-08-13,Southampton,Leeds United
2.0,Sat,2022-08-13,Wolves,Fulham
2.0,Sat,2022-08-13,Arsenal,Leicester City
2.0,Sat,2022-08-13,Brighton,Newcastle Utd
2.0,Sat,2022-08-13,Brentford,Manchester Utd
2.0,Sun,2022-08-14,Nott'ham Forest,West Ham
2.0,Sun,2022-08-14,Chelsea,Tottenham
2.0,Mon,2022-08-15,Liverpool,Crystal Palace
3.0,Sat,2022-08-20,Tottenham,Wolves
3.0,Sat,2022-08-20,Leicester City,Southampton
3.0,Sat,2022-08-20,Everton,Nott'ham Forest
3.0,Sat,2022-08-20,Crystal Palace,Aston Villa
3.0,Sat,2022-08-20,Fulham,Brentford
3.0,Sat,2022-08-20,Bournemouth,Arsenal
3.0,Sun,2022-08-21,Leeds United,Chelsea
3.0,Sun,2022-08-21,West Ham,Brighton
3.0,Sun,2022-08-21,Newcastle Utd,Manchester City
3.0,Mon,2022-08-22,Manchester Utd,Liverpool
4.0,Sat,2022-08-27,Southampton,Manchester Utd
4.0,Sat,2022-08-27,Manchester City,Crystal Palace
4.0,Sat,2022-08-27,Brighton,Leeds United
4.0,Sat,2022-08-27,Chelsea,Leicester City
4.0,Sat,2022-08-27,Brentford,Everton
4.0,Sat,2022-08-27,Liverpool,Bournemouth
4.0,Sat,2022-08-27,Arsenal,Fulham
4.0,Sun,2022-08-28,Wolves,Newcastle Utd
4.0,Sun,2022-08-28,Aston Villa,West Ham
4.0,Sun,2022-08-28,Nott'ham Forest,Tottenham
5.0,Tue,2022-08-30,Fulham,Brighton
5.0,Tue,2022-08-30,Crystal Palace,Brentford
5.0,Tue,2022-08-30,Southampton,Chelsea
5.0,Tue,2022-08-30,Leeds United,Everton
5.0,Wed,2022-08-31,Bournemouth,Wolves
5.0,Wed,2022-08-31,Manchester City,Nott'ham Forest
5.0,Wed,2022-08-31,Arsenal,Aston Villa
5.0,Wed,2022-08-31,West Ham,Tottenham
5.0,Wed,2022-08-31,Liverpool,Newcastle Utd
5.0,Thu,2022-09-01,Leicester City,Manchester Utd
6.0,Sat,2022-09-03,Everton,Liverpool
6.0,Sat,2022-09-03,Nott'ham Forest,Bournemouth
6.0,Sat,2022-09-03,Wolves,Southampton
6.0,Sat,2022-09-03,Newcastle Utd,Crystal Palace
6.0,Sat,2022-09-03,Brentford,Leeds United
6.0,Sat,2022-09-03,Tottenham,Fulham
6.0,Sat,2022-09-03,Aston Villa,Manchester City
6.0,Sun,2022-09-04,Brighton,Leicester City
6.0,Sun,2022-09-04,Chelsea,West Ham
6.0,Sun,2022-09-04,Manchester Utd,Arsenal
7.0,Sat,2022-09-10,Fulham,Chelsea
7.0,Sat,2022-09-10,Liverpool,Wolves
7.0,Sat,2022-09-10,Bournemouth,Brighton
7.0,Sat,2022-09-10,Southampton,Brentford
7.0,Sat,2022-09-10,Leicester City,Aston Villa
7.0,Sat,2022-09-10,Manchester City,Tottenham
