Team,Manager,Manager_Start
Arsenal,Mikel Arteta,2019-12-22
Aston Villa,Steven Gerrard,2021-11-11
Bournemouth,Scott Parker,2021-06-28
Brentford,Thomas Frank,2018-10-16
Brighton & Hove Albion,Graham Potter,2019-05-20
Chelsea,Thomas Tuchel,2021-01-26
Crystal Palace,Patrick Vieira,2021-07-04
Everton,Frank Lampard,2022-01-30
Fulham,Marco Silva,2021-07-01
Leeds United,Jesse Marsch,2022-02-28
Leicester City,Brendan Rodgers,2019-02-26
Liverpool,Jürgen Klopp,2015-10-08
Manchester City,Pep Guardiola,2016-07-01
Manchester United,Erik ten Hag,2022-05-23
Newcastle United,Eddie Howe,2021-11-08
Nottingham Forest,Steve Cooper,2021-09-21
Southampton,Ralph Hasenhüttl,2018-12-06
Tottenham Hotspur,Antonio Conte,2021-11-02
West Ham United,David Moyes,2019-12-30
Wolverhampton Wanderers,Bruno Lage,2021-06-09
