Team,M,W,D,L,GF,GA,GD,Pts
Manchester City,38.0,31.5,6.0,0.5,73.5,21.5,52.0,100.5
Tottenham,38.0,30.5,6.5,1.0,75.5,26.0,49.5,98.0
Manchester Utd,38.0,31.0,4.0,3.0,77.0,29.0,48.0,97.0
Chelsea,38.0,26.5,9.5,2.0,50.0,17.5,32.5,89.0
Liverpool,38.0,26.0,10.0,2.0,67.5,27.5,40.0,88.0
Arsenal,38.0,16.5,14.0,7.5,42.0,31.5,10.5,63.5
Crystal Palace,38.0,13.5,16.0,8.5,37.0,31.0,6.0,56.5
Leicester City,38.0,12.5,15.0,10.5,48.5,46.5,2.0,52.5
West Ham,38.0,12.5,12.5,13.0,45.5,44.5,1.0,50.0
Aston Villa,38.0,11.0,16.5,10.5,40.0,41.5,-1.5,49.5
Brentford,38.0,10.5,15.0,12.5,35.5,40.5,-5.0,46.5
Newcastle Utd,38.0,10.5,14.5,13.0,41.5,46.0,-4.5,46.0
Bournemouth,38.0,7.5,15.0,15.5,40.0,52.5,-12.5,37.5
Wolves,38.0,5.0,20.5,12.5,25.0,36.0,-11.0,35.5
Brighton,38.0,5.5,15.0,17.5,30.5,47.5,-17.0,31.5
Everton,38.0,3.0,16.0,19.0,32.5,59.5,-27.0,25.0
Leeds United,38.0,3.0,11.5,23.5,27.5,57.5,-30.0,20.5
Southampton,38.0,1.5,10.5,26.0,28.5,66.5,-38.0,15.0
Nott'ham Forest,38.0,0.5,7.5,30.0,19.5,65.5,-46.0,9.0
Fulham,38.0,0.0,7.5,30.5,19.0,68.0,-49.0,7.5
